encoded_space_dim,num_epochs,patience,nfolds,dropout,lr,weight_decay,val_loss
4,45,6,3,0.15766244053086964,0.006573814450308578,0.0003174474169505305,0.062027093
4,45,6,3,0.2663247687091282,0.005981281667920678,0.0004399266468913008,0.06363019
4,45,6,3,0.3077457514734745,0.0005485984852213198,0.00015744258392674513,0.05594796
4,45,6,3,0.11611586782794225,0.007904133758452557,0.003059577396637772,0.07348756
4,45,6,3,0.4546157641863713,0.015619240019130272,9.079356684767775e-05,0.04806233
4,45,6,3,0.03683805837489551,0.004052776773980563,0.003241391837286169,0.07381106
4,45,6,3,0.32086041194162845,0.022267337245222462,5.341660584932364e-05,0.04358134
4,45,6,3,0.291953930704841,0.044673689373591535,0.00024742091310381493,0.0670853
4,45,6,3,0.31260536779737,0.005572703703461595,0.004083533419083264,0.07989801
4,45,6,3,0.058678016977836533,0.009741176265800629,0.0035654068600876024,0.08196333
4,45,6,3,0.3187448616226534,0.04665782266791149,0.0014298183808468226,0.06893761
4,45,6,3,0.020223586837966323,0.001474879703838086,0.00044189896163707284,0.062395215
4,45,6,3,0.290694314692063,0.047100113821249456,0.0027643261561819056,0.08159715
4,45,6,3,0.19961697539473955,0.0020001966410465714,0.004002414325592125,0.07719022
4,45,6,3,0.4888995265004587,0.0012211115135617632,0.0003319294715595986,0.06438873
4,45,6,3,0.38018300351295103,0.006739851861833904,0.001604425522975096,0.06826014
4,45,6,3,0.39372464960744835,0.0007653074291723457,0.00015108987884825586,0.05532128
4,45,6,3,0.2714712862070399,0.016066586217478102,0.0009186700263189169,0.06789749
4,45,6,3,0.25725906874785265,0.003104369232830144,0.0021732914390086527,0.068187244
4,45,6,3,0.4603528088820751,0.010341398396482761,0.00015392693679679696,0.06336478
4,45,6,3,0.4990773006503032,0.035458450286883866,0.0007660966281367911,0.06869406
4,45,6,3,0.08774471975772558,0.011447816790231711,0.0025658930458230104,0.07202444
4,45,6,3,0.14913183195235397,0.0012080047741666528,8.790837958816358e-05,0.03472601
4,45,6,3,0.38130703690223644,0.006927705568442102,0.0003453048772711968,0.06395454
4,45,6,3,0.45113583093127585,0.0011359398863492885,0.00017510851407016352,0.062932245
4,45,6,3,0.12778589702335785,0.0005805294047984786,0.0005263154637967216,0.06335711
4,45,6,3,0.23885490865773207,0.0006302226213325841,0.00018243023669549757,0.061220884
4,45,6,3,0.3419936163099187,0.0007856024042971626,0.0016122233333430854,0.06788387
4,45,6,3,0.28228968274651073,0.0024800156206710665,0.00011213483176719739,0.040525433
4,45,6,3,0.3791688319086486,0.002874504675248739,0.0002831251654496532,0.06331054
