Ni,Nh1,Nh2,No,act_func,dropout,num_epochs,batchsize,lr,weight_decay,patience,nfolds,val_loss
784,121,104,10,LeakyReLU(negative_slope=0.01),0.45038539939477845,150,1000,0.0026371665235413646,0.0029315637635659343,15,3,0.12849398
784,554,319,10,LeakyReLU(negative_slope=0.01),0.10644716970172768,150,200,0.0034634027206712588,8.925079334837879e-05,15,3,0.10004987
784,353,125,10,LeakyReLU(negative_slope=0.01),0.24889141550922872,150,1500,0.007338272499560944,0.0008709542989658821,15,3,0.08966449
784,386,325,10,LeakyReLU(negative_slope=0.01),0.3942945684325265,150,1500,0.008587729838438054,0.0007621176330920427,15,3,0.101510614
784,105,100,10,LeakyReLU(negative_slope=0.01),0.006377745422517955,150,2000,0.0017711075773516292,0.0038264736383875507,15,3,0.11895212
784,385,291,10,LeakyReLU(negative_slope=0.01),0.13717608450056828,150,1000,0.046883789386396826,0.0003501215544754279,15,3,0.16845803
784,174,125,10,LeakyReLU(negative_slope=0.01),0.02314810149647417,150,1500,0.0037827972931355437,0.00027728771487494963,15,3,0.08493085
784,184,153,10,LeakyReLU(negative_slope=0.01),0.3171517357780874,150,1000,0.016605512876560865,0.0009442256023043782,15,3,0.13785057
784,390,360,10,LeakyReLU(negative_slope=0.01),0.3845668456221616,150,200,0.0005610745503775684,6.771888056940853e-05,15,3,0.079134606
784,533,319,10,LeakyReLU(negative_slope=0.01),0.0021332170835797193,150,1500,0.001556112323401447,0.0012914641990389162,15,3,0.086877346
784,596,267,10,LeakyReLU(negative_slope=0.01),0.41945170606714766,150,1000,0.012009428489563783,8.856969864749135e-05,15,3,0.10183156
784,479,323,10,LeakyReLU(negative_slope=0.01),0.31632788709306947,150,500,0.004269294827739292,0.00258882604753627,15,3,0.12989905
784,590,264,10,LeakyReLU(negative_slope=0.01),0.20313859001572993,150,500,0.02583487319789616,0.001957140649440864,15,3,0.20391305
784,445,400,10,LeakyReLU(negative_slope=0.01),0.23018425194462094,150,1500,0.018154172137191487,8.430593941466594e-05,15,3,0.109157294
784,353,190,10,LeakyReLU(negative_slope=0.01),0.013515937803422196,150,200,0.0006381459764434827,0.0021454011324956728,15,3,0.09262881
784,411,238,10,LeakyReLU(negative_slope=0.01),0.17275866935756423,150,500,0.0006497034193445276,0.0013450652369909998,15,3,0.07927823
784,289,184,10,LeakyReLU(negative_slope=0.01),0.23854581672168468,150,2000,0.005013039345095682,0.0003420533318702095,15,3,0.07555738
784,552,303,10,LeakyReLU(negative_slope=0.01),0.3944161716714836,150,500,0.030934924935016764,0.00015825151964394505,15,3,0.21934581
784,368,204,10,LeakyReLU(negative_slope=0.01),0.028350068509214232,150,1500,0.0060077836610918835,0.002663625868294447,15,3,0.12045301
784,516,444,10,LeakyReLU(negative_slope=0.01),0.26691802050295477,150,1000,0.000895044472386939,6.99526532349392e-05,15,3,0.076789014
784,341,123,10,LeakyReLU(negative_slope=0.01),0.021753049175478267,150,500,0.0017540295645568293,0.0009050119408606888,15,3,0.08595794
784,512,171,10,LeakyReLU(negative_slope=0.01),0.28556781504542444,150,500,0.013148718375192443,0.0002197350908478876,15,3,0.12708552
784,542,271,10,LeakyReLU(negative_slope=0.01),0.22600580818578764,150,2000,0.005873827140144783,0.0012047513229215343,15,3,0.08678296
784,322,122,10,LeakyReLU(negative_slope=0.01),0.48336510770817925,150,200,0.0006411859010262432,0.0013926898450752204,15,3,0.082238875
784,412,160,10,LeakyReLU(negative_slope=0.01),0.10831863121911711,150,1000,0.0053883893216002,0.0006908543258575357,15,3,0.08527286
784,260,104,10,LeakyReLU(negative_slope=0.01),0.47801157791709376,150,200,0.02909633474800933,0.0008912238418860422,15,3,0.44389105
784,279,176,10,LeakyReLU(negative_slope=0.01),0.3408833714961707,150,2000,0.0047983578478828625,0.0015798319689640035,15,3,0.0917024
784,358,118,10,LeakyReLU(negative_slope=0.01),0.4978931527777927,150,200,0.0006267331539825862,0.00020165531826880283,15,3,0.07301208
784,253,233,10,LeakyReLU(negative_slope=0.01),0.19813108657829936,150,1500,0.002961519475294377,0.00023782713591950994,15,3,0.074666135
784,210,122,10,LeakyReLU(negative_slope=0.01),0.17320085145013525,150,1000,0.007045453034473287,6.31727761212229e-05,15,3,0.097653374
784,155,121,10,LeakyReLU(negative_slope=0.01),0.01782907911822862,150,200,0.0033589844783862522,0.003372325383053715,15,3,0.14937647
