Ni,Nh1,Nh2,No,act_f,n_epochs,batchsize,lr,decay,lr_final,reg_type,alpha_reg,patience,train_loss,val_loss
1,72,72,1,ReLU,5000,1,0.009414479647554135,True,0.0005,L1,0.00335323157470315,400,3.282213637785847,2.6953120301788616
1,81,81,1,leaky ReLU,5000,1,0.002672904715667399,True,0.0005,L2,0.0040690968425201035,400,1.0687206764205994,1.3237493492357566
1,31,31,1,sig,5000,1,0.004070673384352556,True,0.0005,L1,0.008534577905117066,400,3.1332731297189538,2.910759130599903
1,91,91,1,sig,5000,1,0.003962966252624626,True,0.0005,L2,0.0053449317035438966,400,1.513481194161511,1.5960438123829497
1,18,18,1,ReLU,5000,1,0.007258510537716708,True,0.0005,None,0.00523230203817998,400,6.398507011409859,3.1976265592958324
1,33,33,1,leaky ReLU,5000,1,0.004902474574422801,True,0.0005,L1,0.006852952961765464,400,1.372976369400941,1.313491349527021
1,80,80,1,ReLU,5000,1,0.005575638587763103,True,0.0005,L1,0.009637956569964492,400,2.638005817157191,1.6808932082825523
1,86,86,1,leaky ReLU,5000,1,0.0072277354601469725,True,0.0005,None,0.005640572219994352,400,1.5132959942294248,1.5686625505241187
1,63,63,1,sig,5000,1,0.002617219977600675,True,0.0005,None,0.0015013821641017503,400,1.3290368853929415,1.3850374892748052
1,99,99,1,sig,5000,1,0.007194647919742983,True,0.0005,L1,0.007178628915676774,400,3.624601966695977,3.5920151625642807
1,83,83,1,ReLU,5000,1,0.006078804649448109,True,0.0005,L1,0.0015201357365349243,400,1.2694374054508317,1.308014306171322
1,30,30,1,leaky ReLU,5000,1,0.007093482209706625,True,0.0005,L1,0.006089769443135542,400,1.5554326856508482,1.3115542744772075
1,26,26,1,leaky ReLU,5000,1,0.00273751669703694,True,0.0005,None,0.008300551507836831,400,1.04523539833539,1.280260691395533
1,53,53,1,leaky ReLU,5000,1,0.0035316200526041537,True,0.0005,None,0.003745461991391774,400,0.9799886763846037,1.2695209905578904
1,70,70,1,ReLU,5000,1,0.008277276775255828,True,0.0005,L2,0.008914731471162621,400,3.51440299465336,2.3672859903014363
1,33,33,1,sig,5000,1,0.00994547696611624,True,0.0005,None,0.009861049114941192,400,1.2192099527627935,1.3361363505236488
1,32,32,1,sig,5000,1,0.0071697483385964305,True,0.0005,None,0.008374408444617345,400,1.325826706155903,1.374846081071298
1,73,73,1,sig,5000,1,0.0057441243874839475,True,0.0005,L1,0.009093787461605139,400,3.6009606310170645,3.568812533058617
1,6,6,1,leaky ReLU,5000,1,0.008024096599962376,True,0.0005,L1,0.007023954518677458,400,1.7026068360779762,1.4565656122065738
1,56,56,1,leaky ReLU,5000,1,0.00761544115294387,True,0.0005,L2,0.004207460155412639,400,1.7298431503765461,2.0840616777356247
1,69,69,1,sig,5000,1,0.0017802010170993613,True,0.0005,L1,0.003010928827396045,400,1.4508436030519904,1.4977641176494938
1,30,30,1,leaky ReLU,5000,1,0.004500936846459538,True,0.0005,L1,0.002758314751333652,400,1.1491345329564588,1.2209231735219532
1,84,84,1,leaky ReLU,5000,1,0.00962591202077465,True,0.0005,None,0.002158335440515108,400,1.766548704046859,1.4547949314462385
1,28,28,1,leaky ReLU,5000,1,0.004694468255077334,True,0.0005,L1,0.0035322660289866,400,1.1811026464614505,1.2379411165727783
1,87,87,1,leaky ReLU,5000,1,0.004655769912314428,True,0.0005,None,0.009731852314402892,400,1.1973038444479636,1.2406727133748197
1,53,53,1,ReLU,5000,1,0.00697725979250266,True,0.0005,L2,0.004186352475494293,400,2.048181173371854,1.9250251428895073
1,99,99,1,leaky ReLU,5000,1,0.007762526950647064,True,0.0005,L1,0.006413654667228492,400,2.1527410813911825,1.793221869497296
1,43,43,1,ReLU,5000,1,0.006426018767500328,True,0.0005,L1,0.005783408412487923,400,1.3613817818321223,1.2655592322667997
1,38,38,1,sig,5000,1,0.004557741955800545,True,0.0005,L1,0.00897908715965073,400,3.592910758298751,3.5823612412019594
1,35,35,1,leaky ReLU,5000,1,0.002595906636004372,True,0.0005,None,0.008674739728141803,400,1.0557879297298676,1.3224259354712062
1,87,87,1,ReLU,5000,1,0.001873302872295735,True,0.0005,L1,0.008029012084226331,400,1.1718377562433613,1.3183751403422441
1,90,90,1,leaky ReLU,5000,1,0.00626072956331374,True,0.0005,L2,0.006874464155645185,400,1.1875502435570144,1.2811091878879755
1,56,56,1,leaky ReLU,5000,1,0.008588524263436027,True,0.0005,None,0.007032452236934413,400,1.746584817571681,1.4961372794890746
1,9,9,1,sig,5000,1,0.004787819636365344,True,0.0005,L2,0.0090269910502189,400,1.996537312634699,2.3358276306315977
1,18,18,1,ReLU,5000,1,0.005961808832317553,True,0.0005,L2,0.006861620818920052,400,1.251276571152161,1.2717937400527959
1,21,21,1,sig,5000,1,0.008641299969299021,True,0.0005,L2,0.009661767088699733,400,1.5340212579283266,1.5806487583863582
1,74,74,1,sig,5000,1,0.007509296792638663,True,0.0005,L2,0.0051390217251086456,400,1.4626893520019324,1.544913923931035
1,63,63,1,ReLU,5000,1,0.006567023113986206,True,0.0005,None,0.009705466454256188,400,1.049111816699406,1.2766100719717284
